Amplitude,Energy,Rise_time,Count,Max_freq,Variance
0.0001918053157777,49.69981517746104,1.17e-05,4,0.029018182,9.17
0.000138526061395,42.649789080903865,7.2000000000000005e-06,1,0.02399057,7.91
0.000161360027559,37.39501279617855,4.0000000000000003e-07,0,0.027278315,10.21
0.0001978943734215,70.44872446746258,3.3600000000000004e-05,6,0.028236171,13.5
0.0004034000688976,425.6193603610552,4.9300000000000006e-05,20,0.068981946,45.21
0.0001461373834497,40.595188330745614,4.0000000000000003e-07,1,0.03328445,15.93
0.000278574387201,137.43421480029724,6.9e-06,6,0.031447846,17.51
0.0001324370037513,21.4308409745145,2.0000000000000002e-07,0,0.020295354,7.04
0.0001826717293121,55.122455847214624,1.1100000000000002e-05,3,0.034705132,12.19
0.0002009389022433,71.1868272272528,1.05e-05,4,0.030173084,11.61
0.0001659268207918,70.52714151314669,5.2400000000000007e-05,3,0.022459313,12.32
0.0002831411804338,166.50506354486694,3.71e-05,9,0.046699673,22.5
0.0001796272004902,43.09007391187254,6.5e-06,1,0.026008394,9.8
0.0001507041766825,40.39534536325751,1.04e-05,1,0.02604783,13.1
0.0002070279598871,198.3405302617465,2.76e-05,12,0.051988896,24.82
0.0001674490852028,60.24968856827407,0.0001364,1,0.03835378,12.62
0.0001704936140246,86.5329318377802,7.100000000000001e-06,6,0.033533655,15.44
0.0002877079736666,146.47312334276913,3.34e-05,9,0.03988549,18.06
0.0001339592681622,19.977715649231143,1.0000000000000001e-07,1,0.023407748,4.96
0.0001324370037513,16.868285135615306,2.0000000000000002e-07,0,0.015704568,4.27
0.0002359509836948,159.210702540008,3.97e-05,9,0.046522673,19.89
0.0001674490852028,56.67318536765799,4e-06,4,0.031072568,7.61
0.0001461373834497,22.495217966938355,4.0000000000000003e-07,1,0.017065901,4.24
0.000184193993723,87.79650295688862,2.92e-05,6,0.056576937,23.6
0.0001781049360793,52.75928494920485,7.3e-06,2,0.034174725,10.65
0.0007078529510846,1394.3614821551728,2.8200000000000004e-05,46,0.09733081,138.68
0.0001354815325731,44.99803664043238,1.94e-05,1,0.042243917,21.41
0.0001446151190387,26.41940714670465,4.0000000000000003e-07,1,0.054055844,30.88
0.0002861857092557,217.369455273126,4.42e-05,13,0.04193864,27.26
0.0001750604072574,45.08887435292697,4.2e-06,2,0.04806851,25.96
0.0001293924749294,51.34008472879192,1.0000000000000001e-07,1,0.040851686,10.08
0.0001339592681622,27.998222204786643,1.0000000000000001e-07,1,0.02334036,6.4
0.0001872385225449,48.89821871046796,4.9e-05,1,0.026407462,7.95
0.0001796272004902,77.77904979114592,3.05e-05,6,0.030165307,19.16
0.0001674490852028,54.2221428865412,5e-07,4,0.020624887,7.54
0.0001354815325731,35.52848318750144,7.100000000000001e-06,1,0.025138477,6.25
0.0001826717293121,72.42036628631199,5e-07,5,0.037766654,15.99
0.0001750604072574,36.34713489847309,7.5e-06,2,0.01794338,6.31
0.000184193993723,71.04667761368972,7.100000000000001e-06,5,0.017596003,8.8
0.0001309147393403,20.86041721666582,1.0000000000000001e-07,0,0.017056033,4.71
0.0002816189160229,143.46685851691498,6.78e-05,10,0.030875698,16.98
0.0001918053157777,80.2308338046096,0.0001035,4,0.03763815,22.09
0.000254218156626,132.817341716988,6.800000000000001e-06,9,0.03485134,16.5
0.0001659268207918,62.81298050840202,3.66e-05,3,0.041048754,11.86
0.0002679185363245,300.40680362764493,4.35e-05,20,0.06423349,36.4
0.0001324370037513,41.3596154888506,1.0000000000000001e-07,1,0.040657777,12.84
0.0001948498445996,87.1192985410871,4.46e-05,8,0.052183766,29.27
0.0001491819122715,40.51918126518891,3.47e-05,0,0.024682807,10.46
0.0002572626854479,131.69920362941428,3.95e-05,10,0.03565362,15.66
0.0001446151190387,23.436037132060896,4e-06,1,0.019348077,5.46
0.0001324370037513,29.884865878373265,6.5e-06,3,0.020242108,4.84
0.0001491819122715,29.5841745117075,3.0000000000000004e-07,1,0.028270174,9.95
0.0001476596478606,21.455496925048745,5e-07,1,0.03071402,10.23
0.0001918053157777,93.59139286478327,2.9100000000000003e-05,5,0.050035138,30.24
0.0002359509836948,87.83923375837841,1.42e-05,4,0.026848726,13.37
0.000744387296947,1597.770107933314,0.000199,45,0.106493555,158.92
0.0001354815325731,32.55493847645404,3.0000000000000004e-07,1,0.045734636,22.47
0.0001370037969841,47.21132531282608,2.9400000000000003e-05,2,0.06620927,39.71
0.0004064445977195,405.7110706778021,3.82e-05,22,0.062028963,46.25
0.0003577321365696,364.7490092184304,4.4800000000000005e-05,22,0.050442245,41.0
0.0001704936140246,71.07911965386636,6.97e-05,5,0.0362275,15.88
0.0001293924749294,24.76718038628009,1.0000000000000001e-07,1,0.019271683,6.45
0.0002115947531199,67.24771470900525,6.15e-05,4,0.025568621,8.67
0.0001978943734215,90.5340549985368,1.05e-05,5,0.032814056,12.53
0.0001583154987372,69.08791991936761,3.5e-06,3,0.022813423,9.7
0.00016288229197,59.10012804750069,4.02e-05,4,0.021591341,8.25
0.000138526061395,26.54546764567673,3.0000000000000004e-07,0,0.018215025,4.89
0.0001354815325731,43.81288256700807,4.3e-05,0,0.021789953,7.37
0.0001644045563809,28.857380120207416,4.1000000000000006e-06,2,0.018943492,5.13
0.0003896996891992,458.4214144921119,4.630000000000001e-05,17,0.06914199,48.89
0.0001278702105185,9.242088405521017,1.0000000000000001e-07,1,0.050873846,24.22
0.0002466068345714,144.2897740388813,5.23e-05,11,0.04538922,20.01
0.0001948498445996,66.7510734196726,2.2e-05,4,0.032805983,15.11
0.0002846634448447,306.03401453359805,0.0001556,21,0.060778286,35.78
0.0001278702105185,18.45701818883701,1.0000000000000001e-07,0,0.03529636,11.57
0.0001826717293121,92.18776482365516,1.8100000000000003e-05,4,0.028024223,21.49
0.000138526061395,90.77755568294832,0.0001206,1,0.030454539,12.65
0.0001826717293121,97.8350897945178,4.89e-05,8,0.022399975,11.79
0.0001689713496137,54.54378254200674,4.17e-05,2,0.037930667,8.7
0.0001507041766825,37.2841537103178,3.800000000000001e-06,1,0.023754084,5.96
0.0001278702105185,36.71067113153818,1.0000000000000001e-07,0,0.047865886,12.84
0.0001400483258059,48.22184851855671,3.0000000000000004e-07,1,0.0328548,11.33
0.0001948498445996,92.03018919994004,1.1e-05,4,0.034897678,11.91
0.0003531653433368,257.43361375195167,2.6900000000000003e-05,13,0.061247222,29.52
