amplitude,frequency,duration,energy,rms,rise_time,counts,cprt
0.0001918053,140624.99999999657,2.3e-05,49.69981517746104,8.519770485150234e-06,1.17e-05,4,341880.3418803419
0.00014004832,21484.37499999948,2.67e-05,42.649789080903865,1.1702214027027196e-05,7.2000000000000005e-06,1,138888.88888888888
0.00015831548,131835.9374999968,8.000000000000001e-07,37.39501279617855,1.1702214027027196e-05,4.0000000000000003e-07,0,0.0
0.00019789435,131835.93750000038,4.490000000000001e-05,70.44872446746258,1.1702214027027196e-05,3.3600000000000004e-05,6,178571.42857142855
0.0003957887,132812.49999999677,0.0003008,425.6193603610552,1.1702214027027196e-05,4.9300000000000006e-05,20,405679.51318458415
0.00016744906,145507.81249999645,3.29e-05,40.595188330745614,1.4804847072556146e-05,4.0000000000000003e-07,1,2500000.0
0.00027096304,145507.81249999645,0.0001361,137.43421480029724,1.4804847072556146e-05,6.9e-06,6,869565.2173913043
0.00013395926,27343.74999999933,5e-07,21.4308409745145,1.4804847072556146e-05,2.0000000000000002e-07,0,0.0
0.0001826717,134765.6249999967,2.33e-05,55.122455847214624,1.4804847072556146e-05,1.1100000000000002e-05,3,270270.27027027024
0.00020093888,142578.12499999654,7.329999999999999e-05,71.1868272272528,1.6869943665560943e-05,1.05e-05,4,380952.38095238095
0.00016440454,136718.74999999668,0.0001005,70.52714151314669,1.6869943665560943e-05,5.2400000000000007e-05,3,57251.90839694656
0.00028314115,129882.81249999684,0.000103,166.50506354486694,1.6869943665560943e-05,3.71e-05,9,242587.60107816712
0.00017962718,130859.3749999968,1.09e-05,43.09007391187254,1.6869943665560943e-05,6.5e-06,1,153846.15384615384
0.0001704936,133789.06249999674,1.09e-05,40.39534536325751,1.6869943665560943e-05,1.04e-05,1,96153.84615384616
0.00020093888,134765.6249999967,0.0002697,198.3405302617465,1.9094661251261765e-05,2.76e-05,12,434782.60869565216
0.00016744906,127929.68749999689,0.0001371,60.24968856827407,1.9094661251261765e-05,0.0001364,1,7331.378299120234
0.00016136002,140624.99999999657,7.9e-05,86.5329318377802,1.9094661251261765e-05,7.100000000000001e-06,6,845070.4225352112
0.00028314115,133789.06249999674,9.11e-05,146.47312334276913,1.9094661251261765e-05,3.34e-05,9,269461.07784431137
0.00013395926,130859.3749999968,3.0000000000000004e-07,19.977715649231143,1.9094661251261765e-05,1.0000000000000001e-07,1,10000000.0
0.00013091472,129882.81249999684,5e-07,16.868285135615306,1.9094661251261765e-05,2.0000000000000002e-07,0,0.0
0.00022833963,135742.1874999967,0.0002194,159.210702540008,1.9094661251261765e-05,3.97e-05,9,226700.25188916875
0.00015831548,133789.06249999674,3.03e-05,56.67318536765799,2.023196082422093e-05,4e-06,4,1000000.0
0.00014004832,130859.3749999968,8.000000000000001e-07,22.495217966938355,1.8206769479390136e-05,4.0000000000000003e-07,1,2500000.0
0.0002466068,130859.3749999968,8.360000000000001e-05,87.79650295688862,1.7638119692910554e-05,2.92e-05,6,205479.4520547945
0.00017658266,126953.12499999691,5.440000000000001e-05,52.75928494920485,1.7638119692910554e-05,7.3e-06,2,273972.602739726
0.00069719704,130859.3749999968,0.0004647,1394.3614821551728,1.7638119692910554e-05,2.8200000000000004e-05,46,1631205.673758865
0.00020093888,131835.9374999968,1.9700000000000005e-05,44.99803664043238,1.7638119692910554e-05,1.94e-05,1,51546.39175257732
0.00040187777,127929.68749999689,1.13e-05,26.41940714670465,1.7638119692910554e-05,4.0000000000000003e-07,1,2500000.0
0.00028009663,139648.4374999966,0.0001752,217.369455273126,1.7638119692910554e-05,4.42e-05,13,294117.64705882355
0.00025878492,132812.49999999677,1.08e-05,45.08887435292697,1.7638119692910554e-05,4.2e-06,2,476190.4761904762
0.00012482567,132812.49999999677,2.0000000000000002e-07,51.34008472879192,1.997257671108989e-05,1.0000000000000001e-07,1,10000000.0
0.0001278702,132812.49999999677,4.0000000000000003e-07,27.998222204786643,1.997257671108989e-05,1.0000000000000001e-07,1,10000000.0
0.0001826717,132812.49999999677,4.97e-05,48.89821871046796,1.997257671108989e-05,4.9e-05,1,20408.163265306124
0.0001918053,134765.6249999967,7.26e-05,77.77904979114592,1.997257671108989e-05,3.05e-05,6,196721.31147540984
0.00016440454,139648.4374999966,6.16e-05,54.2221428865412,1.959347685343684e-05,5e-07,4,8000000.0
0.00013700378,132812.49999999677,1.08e-05,35.52848318750144,1.959347685343684e-05,7.100000000000001e-06,1,140845.0704225352
0.00017658266,130859.3749999968,3.430000000000001e-05,72.42036628631199,1.959347685343684e-05,5e-07,5,10000000.0
0.0001704936,141601.56249999657,1.46e-05,36.34713489847309,1.8954992882652745e-05,7.5e-06,2,266666.6666666667
0.00017962718,168945.3124999959,8.94e-05,71.04667761368972,1.8954992882652745e-05,7.100000000000001e-06,5,704225.352112676
0.00012482567,41015.624999999,3.0000000000000004e-07,20.86041721666582,1.8954992882652745e-05,1.0000000000000001e-07,0,0.0
0.00028009663,135742.1874999967,0.0001858,143.46685851691498,1.5902241397341303e-05,6.78e-05,10,147492.62536873156
0.00024356227,145507.81249999645,0.0001142,80.2308338046096,1.7029564658256966e-05,0.0001035,4,38647.342995169085
0.00024965135,131835.9374999968,0.0001169,132.817341716988,1.7478498700214534e-05,6.800000000000001e-06,9,1323529.4117647058
0.00016136002,132812.49999999677,6.330000000000001e-05,62.81298050840202,1.7478498700214534e-05,3.66e-05,3,81967.2131147541
0.000264874,133789.06249999674,0.0002299,300.40680362764493,1.7478498700214534e-05,4.35e-05,20,459770.1149425287
