amplitude,duration,energy,rms,rise time,counts,peak frequency,trai
0.00023138417,8.87e-05,100.70973262879814,1.774785912538907e-05,4.51e-05,5,132812.49999999677,5700000
0.00059063855,0.0003461,1413.734848941685,1.5163994306122194e-05,4.8700000000000005e-05,34,130859.37499999681,5700004
0.00022833963,0.0010049000000000002,429.39079387736126,1.5163994306122194e-05,0.0003345,19,135742.1874999967,5700006
0.00021616153,8.680000000000001e-05,121.47931213296937,1.809703004691162e-05,5.9900000000000006e-05,9,133789.06249999674,5700012
0.00045667926,0.0001388,474.80279095044756,1.875546664178272e-05,4.4200000000000004e-05,15,133789.06249999674,5700015
0.00046276834,0.00017360000000000002,568.3315243319182,1.875546664178272e-05,7.510000000000001e-05,22,132812.49999999677,5700016
0.0006637072,0.00039420000000000004,1302.7002979893564,1.875546664178272e-05,7.860000000000001e-05,48,144531.24999999648,5700017
0.00034403172,0.00018760000000000003,248.46107235452683,1.618157813455934e-05,4.61e-05,15,131835.9374999968,5700024
0.00046581286,0.0003689,505.42140308607304,1.6440962247690384e-05,4.7300000000000005e-05,17,132812.49999999677,5700029
0.00025269587,4.3e-05,88.59281600591007,1.6440962247690384e-05,3.5600000000000005e-05,6,140624.99999999657,5700030
0.0002557404,0.0002179,177.84615194981652,1.6440962247690384e-05,6.879999999999999e-05,9,133789.06249999674,5700031
0.00023747323,8.580000000000001e-05,92.59245610197289,1.6530749056081894e-05,7.840000000000001e-05,8,129882.81249999684,5700035
0.00055410416,0.000473,1391.7857695482344,1.5563046787862257e-05,5.08e-05,37,129882.81249999684,5700039
0.00025878492,0.0003495,215.73215185118266,1.5563046787862257e-05,0.0003233,11,137695.31249999665,5700041
0.00024051775,6.92e-05,96.3866917379459,1.8905111322435238e-05,5.2900000000000005e-05,8,133789.06249999674,5700045
0.00045363474,0.00014209999999999998,472.36926717102614,1.919442437169678e-05,4.07e-05,14,133789.06249999674,5700048
0.0004140559,0.0001989,369.4088911778595,1.919442437169678e-05,2.89e-05,17,132812.49999999677,5700049
0.00067892985,0.0002574,1203.1962969566089,1.919442437169678e-05,6.98e-05,36,144531.24999999648,5700050
0.00031663096,0.00018760000000000003,240.38736085308165,1.6889896289647946e-05,4.61e-05,14,131835.9374999968,5700056
0.00047799098,0.00031670000000000005,482.63967555860324,1.670034636082142e-05,3.6700000000000004e-05,17,132812.49999999677,5700060
0.00025269587,3.65e-05,91.31053205727882,1.670034636082142e-05,2.1900000000000004e-05,6,134765.6249999967,5700061
0.00023442869,0.0002177,154.49770832623253,1.670034636082142e-05,6.890000000000001e-05,10,133789.06249999674,5700062
0.0001918053,8.59e-05,89.03653042398314,1.8007243238520108e-05,8.900000000000001e-06,4,130859.37499999681,5700066
0.0005967276,0.0003999,1533.122947164868,1.4954491753208664e-05,4.85e-05,37,131835.9374999968,5700070
0.0002557404,0.0006068000000000001,386.06139040052847,1.4954491753208664e-05,0.0005518000000000001,22,136718.74999999668,5700072
0.00016440454,0.00040620000000000006,163.8917181713236,1.4954491753208664e-05,2.3e-05,9,133789.06250000402,5700073
0.0004384121,0.0002712,584.9946830820738,1.4954491753208664e-05,3.58e-05,23,132812.49999999677,5700074
0.00021616153,7.53e-05,103.03369500396586,1.834643784799916e-05,5.95e-05,8,132812.49999999677,5700077
0.00044450117,0.0001388,452.31712021247546,1.9423879548697316e-05,7e-05,14,133789.06249999674,5700081
0.0003836106,0.00020660000000000003,420.8429651316203,1.9423879548697316e-05,2.43e-05,24,131835.9374999968,5700082
0.0006941525,0.00042870000000000007,1275.4838362612834,1.9423879548697316e-05,8.060000000000001e-05,40,144531.24999999648,5700083
0.00020093888,6.560000000000001e-05,87.56792561095835,1.9214376995783782e-05,4.0400000000000006e-05,6,129882.81249999684,5700087
0.00032880908,0.0001649,249.95627964049646,1.6470891183820885e-05,4.990000000000001e-05,14,132812.49999999677,5700089
0.00047799098,0.0003686,494.4441289888186,1.6680393736734415e-05,4.7300000000000005e-05,17,132812.49999999677,5700094
0.000264874,3.64e-05,87.38143022571435,1.6680393736734415e-05,2.9e-05,5,140624.99999999657,5700095
0.00026182944,0.0001564,166.04503541516218,1.6680393736734415e-05,6.9e-05,10,133789.06249999674,5700096
0.00027705208,0.00021140000000000002,157.46291079837738,1.6810085793299938e-05,1.5600000000000003e-05,7,129882.81249999684,5700099
0.00059368304,0.0003095,1502.076100098911,1.5383473171079228e-05,1.29e-05,33,130859.37499999681,5700103
0.00023747323,0.0004528,212.03728154969352,1.5383473171079228e-05,0.00040290000000000004,11,167968.74999999593,5700106
0.00046885738,0.0002641,608.375197979661,1.5383473171079228e-05,3.3600000000000004e-05,27,131835.9374999968,5700108
0.00022225059,7.64e-05,98.59590198243168,1.857589302499969e-05,5.2900000000000005e-05,8,132812.49999999677,5700113
0.0004719019,0.000139,487.37102269796435,1.8815324514043728e-05,4.4200000000000004e-05,15,132812.49999999677,5700116
0.0003836106,0.00021660000000000003,421.3384941224326,1.8815324514043728e-05,5.2600000000000005e-05,25,132812.49999999677,5700117
0.0006515291,0.0003928,1232.3715163790039,1.8815324514043728e-05,6.98e-05,42,144531.24999999648,5700118
0.00021007247,7.240000000000001e-05,96.98965022751459,1.8765442953826217e-05,4.71e-05,7,146484.37499999645,5700123
0.000374477,0.0001718,299.6711108479821,1.6660441112647413e-05,4.96e-05,17,131835.9374999968,5700126
0.00045972381,0.00033820000000000003,477.67622879466415,1.6321246503168363e-05,5.5100000000000004e-05,18,140624.99999999657,5700131
0.00025269587,4.2900000000000006e-05,86.77365177589085,1.6321246503168363e-05,2.85e-05,7,139648.4374999966,5700132
0.00024356227,0.00021730000000000002,195.10985920941337,1.678015685716943e-05,7.21e-05,13,133789.06249999674,5700133
0.00018571624,8.54e-05,99.1227607149003,1.7628143380867053e-05,5e-07,4,128906.24999999686,5700136
0.00066979625,0.0004095,1662.1951797638649,1.5144041682035195e-05,0.0001073,34,131835.9374999968,5700140
0.00023138417,0.0008372000000000001,386.6815895171624,1.5144041682035195e-05,0.0006395,19,134765.6249999967,5700142
